timestamp,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5
2026-08-18T15:56:46.323478,64,61,156,156,60,58,0
2026-08-18T15:56:46.325477,63,63,156,156,60,59,0
2026-08-18T15:56:46.326467,63,61,156,156,61,59,0
2026-08-18T15:56:46.327478,62,61,156,156,60,59,0
2026-08-18T15:56:46.329478,62,61,156,156,60,60,0
2026-08-18T15:56:46.330467,63,61,156,156,61,60,0
2026-08-18T15:56:46.331478,63,63,157,156,60,59,0
2026-08-18T15:56:46.333578,61,62,155,156,59,59,0
2026-08-18T15:56:46.334811,62,61,157,156,60,60,0
2026-08-18T15:56:46.335824,63,62,156,156,60,59,0
2026-08-18T15:56:46.337828,61,62,156,156,60,60,0
2026-08-18T15:56:46.338819,61,61,157,156,60,59,0
2026-08-18T15:56:46.339820,64,61,156,156,61,60,0
2026-08-18T15:56:46.341819,63,61,158,156,61,59,0
2026-08-18T15:56:46.342819,62,61,157,157,61,59,0
2026-08-18T15:56:46.343819,63,61,156,156,60,61,0
2026-08-18T15:56:46.346829,61,61,156,157,61,59,0
2026-08-18T15:56:46.346829,62,60,156,157,60,60,0
2026-08-18T15:56:46.347827,63,61,156,156,59,59,0
2026-08-18T15:56:46.350455,62,60,157,156,60,58,0
2026-08-18T15:56:46.351458,62,61,157,156,60,59,0
2026-08-18T15:56:46.351458,62,62,156,156,60,59,0
2026-08-18T15:56:46.354922,62,61,156,157,60,61,0
2026-08-18T15:56:46.354922,63,62,157,156,60,60,0
2026-08-18T15:56:46.355954,63,63,156,156,60,59,0
2026-08-18T15:56:46.358982,62,60,158,156,62,61,0
2026-08-18T15:56:46.360004,63,61,156,156,61,60,0
2026-08-18T15:56:46.360004,64,61,157,156,60,58,0
2026-08-18T15:56:46.363106,62,62,157,156,61,60,0
2026-08-18T15:56:46.364134,64,60,157,156,61,59,0
2026-08-18T15:56:46.364134,63,62,156,156,60,59,0
2026-08-18T15:56:46.367075,63,62,156,158,61,60,0
2026-08-18T15:56:46.367075,63,62,157,156,59,59,0
2026-08-18T15:56:46.368441,63,62,156,156,60,58,0
2026-08-18T15:56:46.370464,62,61,157,157,60,60,0
2026-08-18T15:56:46.371450,63,62,157,156,60,59,0
2026-08-18T15:56:46.372452,63,63,157,156,60,59,0
2026-08-18T15:56:46.375449,62,61,156,157,61,61,0
2026-08-18T15:56:46.375449,63,61,157,157,61,60,0
2026-08-18T15:56:46.376451,63,63,156,156,59,59,0
2026-08-18T15:56:46.379450,63,60,157,157,60,59,0
2026-08-18T15:56:46.379450,63,62,156,156,60,59,0
2026-08-18T15:56:46.380452,62,63,156,156,60,60,0
2026-08-18T15:56:46.383336,62,60,156,157,60,60,0
2026-08-18T15:56:46.383336,63,62,156,156,60,58,0
2026-08-18T15:56:46.384624,62,62,157,156,60,59,0
2026-08-18T15:56:46.387647,62,61,157,157,60,59,0
2026-08-18T15:56:46.387647,65,61,156,156,59,61,0
2026-08-18T15:56:46.388647,61,63,155,157,60,58,0
2026-08-18T15:56:46.391647,63,60,157,156,61,60,0
2026-08-18T15:56:46.391647,63,62,156,156,60,60,0
2026-08-18T15:56:46.392648,62,61,156,156,60,59,0
2026-08-18T15:56:46.395670,63,61,157,156,60,60,0
2026-08-18T15:56:46.395670,62,61,157,156,60,60,0
2026-08-18T15:56:46.396658,62,61,157,157,60,60,0
2026-08-18T15:56:46.399696,63,61,157,156,62,61,0
2026-08-18T15:56:46.400640,63,61,157,157,60,59,0
2026-08-18T15:56:46.400640,61,63,156,157,60,58,0
2026-08-18T15:56:46.403939,62,60,156,156,60,61,0
2026-08-18T15:56:46.403939,63,62,156,156,60,59,0
2026-08-18T15:56:46.403939,62,61,156,157,61,59,0
2026-08-18T15:56:46.408147,63,61,156,155,61,59,0
2026-08-18T15:56:46.408147,62,63,157,156,60,60,0
2026-08-18T15:56:46.408147,62,61,157,156,60,60,0
2026-08-18T15:56:46.412166,62,60,157,156,59,60,0
2026-08-18T15:56:46.412166,62,63,157,156,59,59,0
2026-08-18T15:56:46.412166,62,62,156,157,60,59,0
2026-08-18T15:56:46.416177,63,61,156,157,61,60,0
2026-08-18T15:56:46.416177,64,62,157,156,60,59,0
2026-08-18T15:56:46.416177,61,62,156,157,60,60,0
2026-08-18T15:56:46.420322,64,61,156,157,60,59,0
2026-08-18T15:56:46.420322,63,61,157,156,60,60,0
2026-08-18T15:56:46.420322,63,60,157,157,61,60,0
2026-08-18T15:56:46.424318,63,62,156,156,61,61,0
2026-08-18T15:56:46.424318,62,62,156,157,60,59,0
2026-08-18T15:56:46.424318,62,63,157,157,60,59,0
2026-08-18T15:56:46.428322,63,62,157,156,59,61,0
2026-08-18T15:56:46.428322,62,61,156,156,60,60,0
2026-08-18T15:56:46.428322,63,60,157,157,60,60,0
2026-08-18T15:56:46.432784,62,62,156,156,61,59,0
2026-08-18T15:56:46.433149,62,61,156,157,60,59,0
2026-08-18T15:56:46.433497,61,61,155,156,60,59,0
2026-08-18T15:56:46.436732,63,61,156,156,60,60,0
2026-08-18T15:56:46.436732,62,62,156,156,60,59,0
2026-08-18T15:56:46.436732,62,60,156,156,61,60,0
2026-08-18T15:56:46.440753,63,61,156,156,61,61,0
2026-08-18T15:56:46.440753,62,61,156,156,61,60,0
2026-08-18T15:56:46.440753,62,62,157,157,60,60,0
2026-08-18T15:56:46.444758,63,61,156,156,60,59,0
